Rank	Rating	Title	Votes
178.	8.0	Witness for the Prosecution (1957)	9,346
179.	8.0	Trainspotting (1996)	89,004
180.	8.0	Groundhog Day (1993)	77,856
181.	8.0	Patton (1970)	24,267
182.	8.0	Snatch. (2000)	89,631
183.	8.0	Toy Story (1995)	78,327
184.	8.0	Glory (1989)	35,949
185.	8.0	The Thing (1982)	38,607
186.	8.0	The Day the Earth Stood Still (1951)	17,320
187.	8.0	Bride of Frankenstein (1935)	9,235
188.	8.0	The Gold Rush (1925)	11,368
189.	8.0	King Kong (1933)	22,519
190.	8.0	Lola rennt (1998)	53,755
191.	8.0	Twelve Monkeys (1995)	101,860
192.	8.0	Ed Wood (1994)	42,235
193.	8.0	Belle et la b̻te, La (1946)	5,220
194.	8.0	Toy Story 2 (1999)	69,225
195.	8.0	Sleuth (1972)	8,327
196.	8.0	Spartacus (1960)	29,605
197.	8.0	The Terminator (1984)	100,399
198.	8.0	Scarface (1983)	75,879
199.	8.0	The Lady Vanishes (1938)	8,925
200.	8.0	In the Heat of the Night (1967)	12,716
201.	8.0	The Exorcist (1973)	59,880
202.	7.9	Magnolia (1999)	76,691
203.	7.9	Frankenstein (1931)	12,795
204.	7.9	The Ox-Bow Incident (1943)	4,254
205.	7.9	Big Fish (2003)	73,399
206.	7.9	Mystic River (2003)	62,439
207.	7.9	The Hustler (1961)	14,372
208.	7.9	The Lion King (1994)	66,070
209.	7.9	Casino Royale (2006)	90,640
210.	7.9	The Best Years of Our Lives (1946)	10,307
211.	7.9	Anatomy of a Murder (1959)	7,847
212.	7.9	Lock, Stock and Two Smoking Barrels (1998)	65,955
213.	7.9	Stalker (1979)	9,518
214.	7.9	Ying xiong (2002)	50,385
215.	7.9	The Philadelphia Story (1940)	17,303
216.	7.9	A Christmas Story (1983)	33,809
217.	7.9	Bonnie and Clyde (1967)	22,303
218.	7.9	Young Frankenstein (1974)	37,398
219.	7.9	Rosemary's Baby (1968)	25,195
